date,crop,location,market,price_per_kg
2026-07-15,Tomato,Hyderabad,Bowenpally Wholesale Terminal,34.50
2026-07-16,Tomato,Hyderabad,Bowenpally Wholesale Terminal,35.00
2026-07-17,Tomato,Hyderabad,Bowenpally Wholesale Terminal,34.80
2026-07-18,Tomato,Hyderabad,Bowenpally Wholesale Terminal,35.50
2026-07-19,Tomato,Hyderabad,Bowenpally Wholesale Terminal,36.00
2026-07-20,Tomato,Hyderabad,Bowenpally Wholesale Terminal,36.50
2026-07-21,Tomato,Hyderabad,Bowenpally Wholesale Terminal,36.20
2026-07-22,Tomato,Hyderabad,Bowenpally Wholesale Terminal,37.00
2026-07-23,Tomato,Hyderabad,Bowenpally Wholesale Terminal,37.50
2026-07-24,Tomato,Hyderabad,Bowenpally Wholesale Terminal,38.00
2026-07-25,Tomato,Hyderabad,Bowenpally Wholesale Terminal,37.80
2026-07-26,Tomato,Hyderabad,Bowenpally Wholesale Terminal,38.50
2026-07-27,Tomato,Hyderabad,Bowenpally Wholesale Terminal,39.00
2026-07-28,Tomato,Hyderabad,Bowenpally Wholesale Terminal,38.80
2026-07-29,Tomato,Hyderabad,Bowenpally Wholesale Terminal,39.50
2026-07-30,Tomato,Hyderabad,Bowenpally Wholesale Terminal,40.00
2026-07-31,Tomato,Hyderabad,Bowenpally Wholesale Terminal,40.50
2026-08-01,Tomato,Hyderabad,Bowenpally Wholesale Terminal,41.00
2026-08-02,Tomato,Hyderabad,Bowenpally Wholesale Terminal,40.80
2026-08-03,Tomato,Hyderabad,Bowenpally Wholesale Terminal,41.50
2026-08-04,Tomato,Hyderabad,Bowenpally Wholesale Terminal,42.00
2026-08-05,Tomato,Hyderabad,Bowenpally Wholesale Terminal,42.50
2026-08-06,Tomato,Hyderabad,Bowenpally Wholesale Terminal,42.00
2026-08-07,Tomato,Hyderabad,Bowenpally Wholesale Terminal,43.00
2026-08-08,Tomato,Hyderabad,Bowenpally Wholesale Terminal,43.50
2026-08-09,Tomato,Hyderabad,Bowenpally Wholesale Terminal,43.20
2026-08-10,Tomato,Hyderabad,Bowenpally Wholesale Terminal,44.00
2026-08-11,Tomato,Hyderabad,Bowenpally Wholesale Terminal,44.50
2026-08-12,Tomato,Hyderabad,Bowenpally Wholesale Terminal,44.20
2026-08-13,Tomato,Hyderabad,Bowenpally Wholesale Terminal,45.00
2026-08-14,Tomato,Hyderabad,Bowenpally Wholesale Terminal,45.50
2026-08-15,Tomato,Hyderabad,Bowenpally Wholesale Terminal,45.80
2026-08-16,Tomato,Hyderabad,Bowenpally Wholesale Terminal,46.00
2026-08-17,Tomato,Hyderabad,Bowenpally Wholesale Terminal,46.50
2026-08-18,Tomato,Hyderabad,Bowenpally Wholesale Terminal,46.20
2026-08-19,Tomato,Hyderabad,Bowenpally Wholesale Terminal,47.00
2026-08-20,Tomato,Hyderabad,Bowenpally Wholesale Terminal,47.50
2026-08-21,Tomato,Hyderabad,Bowenpally Wholesale Terminal,47.20
2026-08-22,Tomato,Hyderabad,Bowenpally Wholesale Terminal,48.00
2026-08-23,Tomato,Hyderabad,Bowenpally Wholesale Terminal,48.50
2026-08-24,Tomato,Hyderabad,Bowenpally Wholesale Terminal,48.20
2026-08-25,Tomato,Hyderabad,Bowenpally Wholesale Terminal,49.00
2026-08-26,Tomato,Hyderabad,Bowenpally Wholesale Terminal,49.50
2026-08-27,Tomato,Hyderabad,Bowenpally Wholesale Terminal,49.20
2026-08-28,Tomato,Hyderabad,Bowenpally Wholesale Terminal,50.00
2026-08-29,Tomato,Hyderabad,Bowenpally Wholesale Terminal,50.50
2026-08-30,Tomato,Hyderabad,Bowenpally Wholesale Terminal,51.00
2026-08-31,Tomato,Hyderabad,Bowenpally Wholesale Terminal,51.50
2026-09-01,Tomato,Hyderabad,Bowenpally Wholesale Terminal,52.00
2026-09-02,Tomato,Hyderabad,Bowenpally Wholesale Terminal,51.80
2026-09-03,Tomato,Hyderabad,Bowenpally Wholesale Terminal,52.50
2026-09-04,Tomato,Hyderabad,Bowenpally Wholesale Terminal,53.00
2026-09-05,Tomato,Hyderabad,Bowenpally Wholesale Terminal,53.50
2026-09-06,Tomato,Hyderabad,Bowenpally Wholesale Terminal,53.20
